index,true_label,model_prob,local_fidelity_r2
209,1,0.7460781931877136,0.806180968870756
293,0,0.008253268897533417,0.8302616202058162
339,0,0.4927915334701538,0.775000705121805
347,0,0.02668939344584942,0.7701109558407716
365,0,0.05489559844136238,0.7771345939845303
437,0,0.4727265238761902,0.7923005687325053
596,0,0.11478297412395477,0.7815312200280874
617,0,0.1205720454454422,0.806473883976776
705,1,0.917116105556488,0.8276311440808154
786,0,0.008985670283436775,0.7780160349699544
805,0,0.3047226369380951,0.7987433668397075
821,0,0.031730812042951584,0.7637296640583173
838,0,0.07156646996736526,0.8139497135263755
845,0,0.19948533177375793,0.7811809675733529
858,0,0.23287545144557953,0.7952130896416285
1067,0,0.13340994715690613,0.8049180598657177
1088,1,0.12602880597114563,0.7886384681239089
1155,0,0.020425409078598022,0.773899133491827
1262,1,0.9306977987289429,0.8209832067458291
1277,1,0.2682588994503021,0.7966570943120257
1278,1,0.8962209224700928,0.7992060962814282
1285,0,0.2735084891319275,0.7894395075406804
1559,0,0.09652110934257507,0.7962767889724323
1597,0,0.5081009864807129,0.7946682120313624
1638,0,0.0035309232771396637,0.7721665243722142
1667,0,0.06714974343776703,0.7447705537428593
1687,1,0.784119188785553,0.8098753041017817
1744,0,0.24852778017520905,0.7835594953622109
1807,1,0.6935931444168091,0.8218962910646033
1854,0,0.06685923784971237,0.766322003585598
1958,0,0.05198435112833977,0.7788581932314259
1999,0,0.004058708902448416,0.7897503399436869
2023,1,0.9824796915054321,0.8080837667488933
2036,0,0.040820978581905365,0.8229750109007429
2063,0,0.01992838829755783,0.7825135236140905
2127,1,0.9912301301956177,0.8157542511875561
2159,1,0.9983909130096436,0.7988259284810129
2172,0,0.20261402428150177,0.8018689001258217
2226,0,0.8729650378227234,0.8055141504814995
2230,0,0.01931591145694256,0.7810214208103372
2367,0,0.06891173869371414,0.7883806887514713
2416,0,0.27254217863082886,0.7912730272599282
2515,0,0.25495582818984985,0.7733973656695333
2608,0,0.0030225871596485376,0.7765705270451082
2618,0,0.21378222107887268,0.8176724834549766
2667,0,0.4555893540382385,0.786088950458184
2674,0,0.049937061965465546,0.8067652363352819
2701,0,0.3998863399028778,0.7641887769571298
2733,0,0.062258850783109665,0.7826866204352892
2799,1,0.5453076958656311,0.8124946348629556
2906,1,0.8206477761268616,0.7984519915548867
2934,1,0.8252682089805603,0.8068159667063987
3023,0,0.35855966806411743,0.7736537363411404
3036,0,0.6109035015106201,0.8147857589469096
3076,0,0.042585596442222595,0.7919511860198594
3185,0,0.4715557098388672,0.8005369869178471
3310,0,0.22774307429790497,0.776417906996257
3314,0,0.6924092769622803,0.8001120639602759
3358,0,0.2808138430118561,0.7859717927038472
3362,0,0.0529911145567894,0.799090017442788
3391,0,0.4188225269317627,0.7824992366491246
3432,0,0.020173871889710426,0.8018354606680869
3503,1,0.5871651768684387,0.777889221741096
3575,0,0.860720157623291,0.7844423238462201
3646,0,0.11143834888935089,0.810883363110119
3724,0,0.017235200852155685,0.792749753983591
3794,0,0.3132040202617645,0.8068060702036434
4031,1,0.9282665252685547,0.8202265250751871
4070,0,0.6084378957748413,0.7887031033096236
4073,0,0.4288215637207031,0.8152783919149107
4109,0,0.11205961555242538,0.7664811005065931
4160,1,0.08791100978851318,0.7879008035174898
4189,0,0.015900667756795883,0.800842417210667
4194,0,0.11419463157653809,0.7906872227770417
4273,0,0.035824719816446304,0.7719410252341039
4308,0,0.7509751915931702,0.7938568505022018
4342,1,0.8846533894538879,0.8032092633165655
4413,0,0.390786737203598,0.7838615568374395
4514,1,0.18440654873847961,0.7982107139550494
4596,0,0.19128771126270294,0.7910998818885162
4657,0,0.024756722152233124,0.7786801171926983
4699,1,0.7142696380615234,0.7886306513537102
4714,0,0.0588756762444973,0.7988480348747357
4751,0,0.04357738047838211,0.7928912769958638
4922,0,0.03765343874692917,0.788636524460256
5168,0,0.0679100826382637,0.7685838957274178
5217,0,0.20754416286945343,0.8090446174604634
5281,0,0.05785943567752838,0.7934679811498476
5361,1,0.6687300801277161,0.8078278028877672
5378,0,0.5782626867294312,0.7889309773172043
5381,0,0.3939504027366638,0.7891776258741188
5515,0,0.011889914982020855,0.7981059881651573
5535,0,0.25757941603660583,0.797682121672314
5638,0,0.02474106289446354,0.7861809336914056
5655,0,0.012797089293599129,0.7941781349590759
5729,0,0.05654456093907356,0.774510424756287
5738,0,0.0037533161230385303,0.7836667277682368
5744,0,0.022506991401314735,0.8230939604414009
5772,0,0.13974115252494812,0.7831461989141033
5775,1,0.637350857257843,0.7977845566482076
5795,0,0.062380749732255936,0.7952845746138474
5825,0,0.9327577948570251,0.7815567952485292
5833,1,0.9918239712715149,0.8157152819611605
5935,0,0.015296447090804577,0.7690186828881628
6003,0,0.10032952576875687,0.8007608534909707
6066,0,0.27712762355804443,0.8064915678896277
6109,0,0.025283562019467354,0.7814756180065137
6246,0,0.43744590878486633,0.8010656083990733
6254,0,0.26469147205352783,0.7894251503456424
6295,0,0.052080217748880386,0.8081940498327213
6369,0,0.02375379204750061,0.810624308220789
6400,0,6.872793164802715e-05,0.7844573315985925
6401,0,0.0020518747624009848,0.7794653757241228
6404,0,0.001943450653925538,0.7921355380972331
