feature,mean_abs_weight
Pressure3pm,0.19834658201464428
Humidity3pm,0.13688388109034497
Pressure9am,0.135062913948925
WindGustSpeed,0.08806014771335914
Rainfall,0.047546304496801736
Temp3pm,0.04602817249799882
MinTemp,0.04192673480483852
Humidity9am,0.035551002187082216
Temp9am,0.033828759404367616
MaxTemp,0.032358548802796275
WindSpeed3pm,0.02362506804968356
WindDir9am_cos,0.016762562989101056
WindDir3pm_sin,0.012155663678617704
WindDir3pm_cos,0.010701875314567502
RainToday,0.0077245305705526185
WindGustDir_sin,0.0076957337291791985
WindDir9am_sin,0.007522089336737684
WindGustDir_cos,0.007142335546348603
WindSpeed9am,0.007006655401586485
