epoch,train_loss,val_loss,val_accuracy,val_aucpr,val_auc
1,0.723875094657047,0.651110455199824,0.7974851678030639,0.7293446969745258,0.8901330533798418
2,0.6836797362726831,0.6454353852034734,0.8020012397060126,0.7371731053074331,0.8936785505050628
3,0.6757325511465085,0.6402897270663387,0.8066058620384309,0.7395710942026288,0.8953572894158794
4,0.6704516837757866,0.6365000763290336,0.8137784468254671,0.7421030887112223,0.8961497620240744
5,0.6644187839044461,0.6351977285793693,0.8212166829009121,0.744194830023929,0.8972535087616405
6,0.6601912789100961,0.6325142669749515,0.8012928362702559,0.7444413772639837,0.896952668782958
7,0.6584764768059739,0.6299435708823221,0.8065173116089613,0.7469510897762015,0.8981079952327525
8,0.654639069383471,0.63126168264866,0.8012928362702559,0.7466388914053709,0.8981595067479174
9,0.6527210100847145,0.6279519513153073,0.8098822279288055,0.7486599004113406,0.8990180623104748
10,0.6508272287175934,0.630288321656479,0.8133356946781192,0.7452563487285845,0.8982762828526851
11,0.647698417049761,0.6296331211482519,0.8130700433897105,0.7485569669872131,0.8984047661199899
12,0.6453849230483477,0.6243614801469183,0.8102364296466837,0.7510410119661267,0.8991975115164379
13,0.645587702519072,0.6234848293033195,0.8190029221641725,0.7498078274813403,0.8993610480742922
14,0.6422597941696944,0.6244750673192645,0.8084654210572921,0.7512557236244853,0.8998890297385569
15,0.6417590690545569,0.622229269035817,0.8155494554148588,0.7499253202197723,0.8996588873821884
16,0.6418161679704961,0.6253952195464293,0.7978393695209421,0.7530499392319528,0.9002848227617429
17,0.6385941780785123,0.622672210843424,0.8190914725936421,0.7507794296450323,0.8999979404486876
18,0.6373569810701288,0.6241171445255842,0.8115646860887276,0.7510854928255112,0.900062022955859
19,0.6360243461446545,0.6251819411910036,0.8018241388470734,0.7525432701240641,0.9000970762464081
20,0.6354427474218312,0.625363140329778,0.8097936774993358,0.7533609221068639,0.8999280384587792
21,0.6346895278170495,0.6191588816921019,0.8226334897724253,0.7535144880126932,0.9011234193171002
22,0.630635523009014,0.6174654931708792,0.8003187815460905,0.7552669229643464,0.9017263495539594
23,0.6301579477310555,0.6199108862184416,0.807225715044718,0.7531900686060577,0.900552609897067
24,0.630680131725531,0.6195407854299935,0.8101478792172142,0.7523400619318072,0.9003221720200907
25,0.6298886626717177,0.6186550166960952,0.8161693084211459,0.7551850199753597,0.9010534263977739
26,0.6295372947249519,0.6213863084232438,0.8213937837598513,0.7538559325433226,0.9004029173430679
27,0.628070882167913,0.6227446085144417,0.801912689276543,0.7533458280618253,0.9004260361475352
28,0.6290764848226834,0.6216258234839649,0.8065173116089613,0.7544621848603487,0.9003205125582165
29,0.6265007744903532,0.6205847004449453,0.8035951474364651,0.7532681795755314,0.9006395156880979
30,0.6250769660050818,0.6223514350334852,0.82165943504826,0.7539444977773359,0.8998454518150921
31,0.6248902564350565,0.6225300528155916,0.8089967236341096,0.7519777499604551,0.9005762742780408
32,0.6227341920074443,0.6191352456029583,0.8183830691578854,0.753490480749021,0.900980114554699
33,0.6212613224170359,0.6210884550670626,0.8137784468254671,0.7543060540380409,0.900620375045658
34,0.6212539702907619,0.6232377255204654,0.8221021871956079,0.753607152028663,0.8996523859288181
35,0.6193110407351127,0.6189461717263153,0.81528380412645,0.7540083247604806,0.9008209880736067
36,0.6172091395044779,0.6214455207952477,0.809970778358275,0.7554360345499022,0.9005626121330215
37,0.617687198765637,0.6207176853533094,0.8123616399539538,0.752678015738078,0.9002536339714488
