round,train_loss,train_accuracy,val_loss,val_accuracy,val_auc,val_aucpr
1,,,0.46759554117662033,0.798105020809351,0.8672932737079156,0.6937987738593118
2,,,0.4274463542171907,0.8045692021606304,0.8736880704051196,0.7114841552930807
3,,,0.42173936950743995,0.804037899583813,0.8762266306246267,0.7172777733927157
4,,,0.41696595076501586,0.8069600637563092,0.8773984141375728,0.7208657147549082
5,,,0.411717822263442,0.8122730895244842,0.878190639205834,0.7232040695893022
6,,,0.4113213286796062,0.8107677322235013,0.8791957111795267,0.7248812765376307
7,,,0.40884532555865194,0.8143982998317542,0.8800923859359998,0.7261028789153375
8,,,0.4081344177401658,0.8145754006906933,0.8808101671258962,0.7275070039903148
9,,,0.406723277560689,0.815903657132737,0.8813795278111243,0.7283979797695277
10,,,0.4089293608749228,0.8151952536969804,0.88197872845362,0.7293503174246808
11,,,0.4026072540750202,0.8173204640042504,0.8822230720391971,0.7296379102535138
12,,,0.4045750352108773,0.816966262286372,0.8827459833078833,0.7301280443787752
13,,,0.4007497275808794,0.8194456743115204,0.8829107275887006,0.7307957791149686
14,,,0.4017810280998298,0.8186487204462941,0.8835984123212676,0.7330349754705368
15,,,0.39857764446042904,0.8230762419197734,0.8837833579104026,0.7331531151253435
16,,,0.4006076231433916,0.8226334897724253,0.8840458201992349,0.7334842484467601
17,,,0.3984786233961461,0.8243159479323475,0.8840375669295562,0.733806208784141
18,,,0.39952209500687796,0.8250243513681041,0.8846366328684446,0.7345625460964399
19,,,0.39812260606090877,0.8264411582396175,0.8847243204880748,0.7349563434380644
20,,,0.39962364201195044,0.8259098556628,0.8850472783414399,0.7357241220216135
21,,,0.3969168274668419,0.8279465155406004,0.8849754779772703,0.7354041235279982
22,,,0.4013353545490194,0.8258213052333304,0.8853079023918901,0.7360389531754827
23,,,0.3963936294532008,0.8294518728415833,0.8851426379532158,0.7359470296285838
24,,,0.39631389301703374,0.8303373771362791,0.8853602750454866,0.7360272576925263
25,,,0.3969748421129867,0.8280350659700699,0.8854728391481924,0.7363915904215677
26,,,0.4006367645901098,0.8282121668290091,0.8853936076157338,0.736127738499998
27,,,0.4000627376211077,0.8284778181174178,0.885617212118332,0.7366902329184848
28,,,0.3963883581954679,0.8302488267068096,0.885748368216361,0.7368359215823276
29,,,0.397961754991484,0.8301602762773399,0.8858250753613632,0.737238691544357
30,,,,,,
