Feature,Mean_Abs_SHAP
Pressure3pm,1.7800791431842526
Pressure9am,1.2348894861035702
Humidity3pm,1.0273592953539703
WindGustSpeed,0.6501466342655754
MaxTemp,0.3614417099804293
Temp3pm,0.3398173952824561
MinTemp,0.2939240857477699
WindDir9am_cos,0.2879767829068347
WindDir3pm_cos,0.2609116668986878
WindGustDir_sin,0.2511631564043071
Temp9am,0.2393587571456433
WindDir3pm_sin,0.22772614329957194
WindDir9am_sin,0.22014119396766094
WindGustDir_cos,0.21409867525300186
WindSpeed3pm,0.2101860427496526
Humidity9am,0.1785503341516568
WindSpeed9am,0.16736127585506713
RainToday,0.12797706746928106
Rainfall,0.049489303851521144
