Modelo,Accuracy,AUCPR,ROC-AUC,Precision,Recall,F1-Score,MCC,TN,FP,FN,TP
XGBoost Centralizado,0.8187735222492805,0.7458100273265161,0.8920674831425686,0.566472303206997,0.7764235764235764,0.6550358196375895,0.5484341914195345,14606,2974,1119,3886
MLP Centralizado,0.8026566305069737,0.7404896889526829,0.8917241518436059,0.5363106281473629,0.8085914085914085,0.6448888534778106,0.536733779252439,14081,3499,958,4047
MLP Federado (FedAvg),0.7937126411334957,0.6901748572673325,0.8680583182460315,0.5234990491714208,0.77002997002997,0.6232716099296515,0.5054843342475842,14072,3508,1151,3854
XGBoost Federado (Bagging),0.8263449191941554,0.6732030723113084,0.8574048647598136,0.6000739234891886,0.6487512487512488,0.6234639016897081,0.5114925189742655,15416,2164,1758,3247
XGBoost Federado (Cyclic),0.7907903475758247,0.6564736855841725,0.8465991460189412,0.52042602859644,0.7126873126873127,0.6015684290412345,0.47490897023221507,14293,3287,1438,3567
