feature,mean_abs_weight
Pressure3pm,0.19013483806915835
Humidity3pm,0.16102021732849414
Pressure9am,0.10700337108191368
WindGustSpeed,0.10470712755655993
MaxTemp,0.03914059003161604
Temp3pm,0.03693746906960668
MinTemp,0.03246735233529363
WindDir3pm_cos,0.02396030410820184
Humidity9am,0.023740870971248437
WindSpeed3pm,0.022024907308269958
Temp9am,0.017922129839426246
WindDir9am_cos,0.016619927070538797
WindSpeed9am,0.012623344457712599
RainToday,0.010713364559793104
Rainfall,0.009094306823127637
WindDir9am_sin,0.0053501056118956496
WindDir3pm_sin,0.005259088797570624
WindGustDir_cos,0.004904077131692127
WindGustDir_sin,0.004780483176167278
