index,true_label,model_prob,local_fidelity_r2
209,1,0.7203941345214844,0.874699806953314
293,0,0.019636107608675957,0.8639958193168278
339,0,0.3617970645427704,0.8578966605339177
347,0,0.0749688521027565,0.8575302137302674
365,0,0.013141267001628876,0.8384415245238022
437,0,0.38765498995780945,0.8553216697043524
596,0,0.18726174533367157,0.864508026896513
617,0,0.27768057584762573,0.8712439422486298
705,1,0.8959106802940369,0.8813582253133216
786,0,0.018893303349614143,0.8611185824515197
805,0,0.31769922375679016,0.8619039397085024
821,0,0.1283702254295349,0.8697829799926682
838,0,0.033996548503637314,0.8703284051866286
845,0,0.14011995494365692,0.8452049013763548
858,0,0.3019615411758423,0.8690460313982337
1067,0,0.10248398035764694,0.8702031513200663
1088,1,0.3755165636539459,0.8485583511600855
1155,0,0.11309238523244858,0.8581106306961336
1262,1,0.7918968200683594,0.8730796921620345
1277,1,0.1966262310743332,0.8558468250747335
1278,1,0.847412645816803,0.8775919140591913
1285,0,0.1712915152311325,0.8507277885484159
1559,0,0.20872774720191956,0.86306692706939
1597,0,0.5107113718986511,0.8689830014508735
1638,0,0.01606026105582714,0.8331121243526843
1667,0,0.09260041266679764,0.8393705959041723
1687,1,0.63832026720047,0.882476895679557
1744,0,0.15674276649951935,0.8740765940507539
1807,1,0.6355671286582947,0.8669520609039112
1854,0,0.07605548948049545,0.836005640172637
1958,0,0.04327263683080673,0.8601390791776794
1999,0,0.012797842733561993,0.852332161967516
2023,1,0.9738169312477112,0.8818680313872698
2036,0,0.029357364401221275,0.8695713747351212
2063,0,0.011541812680661678,0.8447908356237119
2127,1,0.980891764163971,0.8821114596210629
2159,1,0.9932523369789124,0.8747799015916857
2172,0,0.12012773007154465,0.8644384082053711
2226,0,0.8223056197166443,0.8816920203411409
2230,0,0.09239427745342255,0.8570975227939616
2367,0,0.06759098917245865,0.8527021989709848
2416,0,0.21116000413894653,0.8530747712372159
2515,0,0.5533828735351562,0.8387986720511447
2608,0,0.05005456134676933,0.8489066130547549
2618,0,0.2994350790977478,0.8768442425335523
2667,0,0.0902787372469902,0.847702407816497
2674,0,0.1027790904045105,0.8820337304962298
2701,0,0.2028486579656601,0.8461734417692274
2733,0,0.15907558798789978,0.8721286454001408
2799,1,0.43474751710891724,0.8626876273956966
2906,1,0.8898850083351135,0.8803773475909911
2934,1,0.7394844889640808,0.8799994732244079
3023,0,0.13340626657009125,0.8456465070234762
