Feature,Mean_Abs_SHAP
Humidity3pm,1.8678688
Pressure3pm,0.6102969
WindGustSpeed,0.5242806
Rainfall,0.18095136
Temp3pm,0.17332175
Pressure9am,0.17209445
WindGustDir_cos,0.14796437
MinTemp,0.1368514
Temp9am,0.06958977
WindDir3pm_sin,0.04235687
WindGustDir_sin,0.034120087
WindSpeed9am,0.03371572
WindDir3pm_cos,0.033028483
WindSpeed3pm,0.02932855
WindDir9am_sin,0.027972165
Humidity9am,0.023837214
WindDir9am_cos,0.016953092
MaxTemp,0.0043012477
RainToday,0.0
