Feature,Mean_Abs_SHAP
Humidity3pm,1.9895402
Pressure3pm,0.6017798
WindGustSpeed,0.52737385
Rainfall,0.18686405
Temp3pm,0.17074852
Pressure9am,0.16625252
WindGustDir_cos,0.13882951
MinTemp,0.13270324
Temp9am,0.065924704
WindDir3pm_sin,0.04247916
WindDir3pm_cos,0.0327522
WindGustDir_sin,0.03254519
WindSpeed9am,0.032300472
WindSpeed3pm,0.029952351
WindDir9am_sin,0.028173212
Humidity9am,0.0233673
WindDir9am_cos,0.017172856
MaxTemp,0.0038389517
RainToday,0.0
