index,true_label,model_prob,local_fidelity_r2
209,1,0.9050636887550354,0.6257997144967207
1999,0,0.24363645911216736,0.6478899785973007
2127,1,1.0,1.0
2416,0,0.28228214383125305,0.5034657114065417
3646,0,0.41989824175834656,0.6489115773151577
3794,0,0.25452473759651184,0.6667601297162933
4031,1,0.7088209390640259,0.8098546500288457
4413,0,0.9996851682662964,0.1381502337404863
4514,1,0.119486965239048,0.5913176662804456
5168,0,0.4101541042327881,0.6678699428097481
5515,0,0.43710458278656006,0.6743153075819123
5744,0,0.27706414461135864,0.5321675977266623
6927,0,0.12384622544050217,0.6124759234169208
8206,0,0.17778024077415466,0.6181481635365194
8541,1,0.9999998807907104,0.5315198622417043
9056,0,0.30972617864608765,0.6787736960662378
9338,1,0.7815171480178833,0.6265657526341563
9467,0,1.0,0.26769486915351304
10342,1,0.626834511756897,0.6431688459877432
10570,0,0.14052699506282806,0.5889219720443033
10954,0,0.3743033707141876,0.6477826145561002
11141,0,0.6514449715614319,0.6864662230660452
12235,0,0.08079009503126144,0.657821870938956
12385,1,1.0,0.44926996951075693
12999,1,1.0,1.0
13683,1,0.26228705048561096,0.581597319544898
14043,1,1.0,0.09311051728135677
14482,0,0.8946132659912109,0.5367095591435502
14579,0,0.9403754472732544,0.80137005145938
14594,0,0.5436979532241821,0.7475860497269822
14615,1,0.8050851225852966,0.6324308756402017
15069,0,0.9440389275550842,0.4889039619797644
15245,1,0.22250835597515106,0.6068718216505264
15942,0,0.328329473733902,0.6719768260127957
16133,1,0.9999210834503174,0.12117754607399867
16334,1,0.8091652989387512,0.8120128300472141
16801,1,1.0,1.0
16863,0,0.9999997615814209,0.0887863833962117
17052,0,0.9998444318771362,0.18508926981309526
19024,1,0.900313138961792,0.6503924529622616
19327,0,0.156324565410614,0.4891617824541913
19416,1,1.0,0.613004636259757
19739,1,0.9999997615814209,0.5137927316679045
20437,0,0.3338638246059418,0.6569060482262521
20785,1,1.0,0.1702188878852524
21917,0,0.6478338837623596,0.7790326477503275
21922,0,1.0,0.529367782990712
21996,0,0.8190288543701172,0.7186940031312181
22061,0,0.3810795843601227,0.5962044730514258
24072,0,0.24986235797405243,0.6832271920318886
24388,1,1.0,0.17696462947313207
24407,0,0.4220898151397705,0.6554194099397721
24439,0,0.9999997615814209,0.29495159776687085
24707,1,1.0,1.0
24838,1,1.0,0.43690382312826836
25290,1,0.9688925743103027,0.6876109173014
26521,0,0.5618666410446167,0.39592972575428165
27741,0,0.12610264122486115,0.618240371479539
