feature,mean_abs_weight
Humidity3pm,0.21034551743219446
Pressure3pm,0.05901466741638295
WindGustSpeed,0.05139371892896017
Rainfall,0.025313081932236234
WindDir3pm_cos,0.02078219065807653
Temp3pm,0.019791184090275877
Pressure9am,0.019551413873671625
MinTemp,0.012033722411012391
Humidity9am,0.007312517724756836
WindGustDir_cos,0.005835196812681355
WindSpeed3pm,0.005754414219883979
WindDir9am_sin,0.005525391613905132
WindSpeed9am,0.005524085554483252
WindDir3pm_sin,0.005280078687728742
RainToday,0.005277834992433919
MaxTemp,0.0052685373373046246
Temp9am,0.00525257981735743
WindGustDir_sin,0.005243965611392335
WindDir9am_cos,0.005192488689530678
