Feature,Mean_Abs_SHAP
Pressure3pm,1.84287483255104
Humidity3pm,1.2112917091768574
Pressure9am,1.1838414733212506
WindGustSpeed,0.5437326744506364
MinTemp,0.4782245922286749
Temp3pm,0.4661857032918307
MaxTemp,0.3829589929157175
Temp9am,0.2932144900160707
WindDir9am_cos,0.23936346494592034
WindSpeed3pm,0.23317577836672468
Humidity9am,0.19141020561003788
WindDir3pm_cos,0.18559321320810318
WindDir9am_sin,0.17696523538097472
WindGustDir_cos,0.16791147100395104
WindGustDir_sin,0.1577297826053872
WindDir3pm_sin,0.1491997728534251
WindSpeed9am,0.133857350609977
Rainfall,0.08247513827604318
RainToday,0.07787086989323809
