Feature,Class_0_SHAP,Class_1_SHAP,Difference,Abs_Difference
Humidity3pm,1.0983410772155608,1.6082762102236776,0.5099351330081168,0.5099351330081168
Pressure3pm,1.898977344297053,1.645692866888438,-0.2532844774086149,0.2532844774086149
MinTemp,0.5146906283287427,0.35005841117267894,-0.16463221715606374,0.16463221715606374
WindGustSpeed,0.5131909283540638,0.6510769152460413,0.1378859868919775,0.1378859868919775
Rainfall,0.06250221507084268,0.1526734259295359,0.09017121085869322,0.09017121085869322
Temp9am,0.27426092672252195,0.35983006123064337,0.08556913450812142,0.08556913450812142
WindGustDir_cos,0.1867042362042332,0.10186105245578068,-0.08484318374845252,0.08484318374845252
WindDir9am_sin,0.19335555968744117,0.11935861022258015,-0.07399694946486102,0.07399694946486102
WindDir9am_cos,0.25480705394314584,0.18508430452000638,-0.06972274942313947,0.06972274942313947
Pressure9am,1.1984880502422661,1.132363549470188,-0.0661245007720781,0.0661245007720781
RainToday,0.06948762630088384,0.10733522716930034,0.0378476008684165,0.0378476008684165
WindGustDir_sin,0.16591030619811944,0.12897791977494968,-0.03693238642316976,0.03693238642316976
WindSpeed3pm,0.24117963175806445,0.20504485346759027,-0.03613477829047418,0.03613477829047418
WindDir3pm_cos,0.19309140544199016,0.15923952176755646,-0.0338518836744337,0.0338518836744337
WindDir3pm_sin,0.15381110036004086,0.13299246601865986,-0.02081863434138101,0.02081863434138101
Humidity9am,0.18716971208455235,0.20631415238019832,0.019144440295645965,0.019144440295645965
Temp3pm,0.46357989895248736,0.47534425262897984,0.011764353676492478,0.011764353676492478
MaxTemp,0.38138843290879826,0.38847899727412644,0.007090564365328178,0.007090564365328178
WindSpeed9am,0.1353720601185436,0.12853364247264482,-0.006838417645898792,0.006838417645898792
