Feature,Mean_Abs_SHAP
Pressure3pm,1.645692866888438
Humidity3pm,1.6082762102236776
Pressure9am,1.132363549470188
WindGustSpeed,0.6510769152460413
Temp3pm,0.47534425262897984
MaxTemp,0.38847899727412644
Temp9am,0.35983006123064337
MinTemp,0.35005841117267894
Humidity9am,0.20631415238019832
WindSpeed3pm,0.20504485346759027
WindDir9am_cos,0.18508430452000638
WindDir3pm_cos,0.15923952176755646
Rainfall,0.1526734259295359
WindDir3pm_sin,0.13299246601865986
WindGustDir_sin,0.12897791977494968
WindSpeed9am,0.12853364247264482
WindDir9am_sin,0.11935861022258015
RainToday,0.10733522716930034
WindGustDir_cos,0.10186105245578068
