Feature,Mean_Abs_SHAP
Humidity3pm,1.2102853
Pressure3pm,0.7655932
Temp3pm,0.67387027
WindGustSpeed,0.6302529
Pressure9am,0.3493553
MinTemp,0.30144846
Humidity9am,0.28340364
WindDir9am_cos,0.24159609
Rainfall,0.19546431
WindDir3pm_sin,0.17799552
WindDir9am_sin,0.16293257
WindSpeed3pm,0.16167465
WindGustDir_sin,0.15376012
Temp9am,0.14707607
WindGustDir_cos,0.1451664
WindDir3pm_cos,0.14082065
WindSpeed9am,0.098371126
MaxTemp,0.06768211
RainToday,0.016468415
