Feature,Mean_Abs_SHAP
Pressure3pm,0.99772364
Humidity3pm,0.91197056
Temp3pm,0.6755761
WindGustSpeed,0.5969821
Pressure9am,0.2821202
MinTemp,0.27726984
WindDir9am_cos,0.26878387
Humidity9am,0.26388216
Rainfall,0.22731453
WindGustDir_sin,0.18695372
WindDir3pm_sin,0.17906657
WindDir9am_sin,0.15630856
Temp9am,0.14526668
WindSpeed3pm,0.14401923
WindDir3pm_cos,0.14130044
WindGustDir_cos,0.12872462
WindSpeed9am,0.10054625
MaxTemp,0.07335371
RainToday,0.016040085
