feature,mean_abs_weight
Humidity3pm,0.17845397830682141
Pressure3pm,0.1431103731593206
Pressure9am,0.09567534930632296
WindGustSpeed,0.0869498690641412
MinTemp,0.043531748191063306
MaxTemp,0.033725317297619524
Temp3pm,0.033526419211588394
WindSpeed3pm,0.03304022358229011
Rainfall,0.0211757802069644
Humidity9am,0.01771195243631297
WindDir9am_cos,0.014998164582001221
Temp9am,0.012841901658251987
WindDir3pm_cos,0.012756920904743839
WindSpeed9am,0.0117712973064229
WindGustDir_cos,0.008995375096029504
WindDir9am_sin,0.008138407980198537
WindGustDir_sin,0.007241196406470303
WindDir3pm_sin,0.006321463449907254
RainToday,0.0054105667938412075
