index,true_label,model_prob,local_fidelity_r2
209,1,0.36361655592918396,0.508198312385912
1999,0,0.015454409644007683,0.6540919512052561
2127,1,0.9092550277709961,0.6959125231067906
2416,0,0.051716823130846024,0.5387973548333536
3646,0,0.046787310391664505,0.5280319561844096
3794,0,0.06029532104730606,0.6500297161358207
4031,1,0.8528624773025513,0.6490134546871918
4413,0,0.2291148602962494,0.630271027594522
4514,1,0.0841025561094284,0.5490652464747876
5168,0,0.02217957377433777,0.545524231958668
5515,0,0.006707404274493456,0.5866710174887264
5744,0,0.02876647561788559,0.560354815130509
6927,0,0.008056887425482273,0.7145337985783116
8206,0,0.036147553473711014,0.6465894126712783
8541,1,0.9473502039909363,0.6836960708835303
9056,0,0.10991865396499634,0.7283404541696812
9338,1,0.37299948930740356,0.41296275276457484
9467,0,0.17337986826896667,0.6153093508101288
10342,1,0.8160228729248047,0.7334698745514758
10570,0,0.0035910357255488634,0.6300398150325184
10954,0,0.021703770384192467,0.6997567167577693
11141,0,0.0408392995595932,0.6412215733334163
12235,0,0.009348706342279911,0.6769608192233958
12385,1,0.9716164469718933,0.6526398960514671
12999,1,0.9906226992607117,0.6262286337860941
13683,1,0.7579807639122009,0.788887718936419
14043,1,0.988090991973877,0.6156221225998735
14482,0,0.34082597494125366,0.7518882238718123
14579,0,0.11852141469717026,0.6672350781864225
14594,0,0.3914881944656372,0.5143031967833647
14615,1,0.5723535418510437,0.668951316162814
15069,0,0.8799538612365723,0.6983532476292509
15245,1,0.5906100273132324,0.6678725389227669
15942,0,0.04475890100002289,0.7212856075698544
16133,1,0.9350818395614624,0.7319820585713384
16334,1,0.5300230383872986,0.667334023010664
16801,1,0.958641767501831,0.6450126000938317
16863,0,0.2737976610660553,0.7508788677101307
17052,0,0.11005222052335739,0.7128844432287249
19024,1,0.44535982608795166,0.6168731106338975
19327,0,0.0727834552526474,0.6396431376204037
19416,1,0.2837196886539459,0.5530051267406837
19739,1,0.9835945963859558,0.6608673595635232
20437,0,0.07910562306642532,0.7287901084327548
20785,1,0.23626239597797394,0.5503709484024227
21917,0,0.22770333290100098,0.6166397534043053
21922,0,0.8071439266204834,0.6945335397445527
21996,0,0.051504191011190414,0.5447510605206504
22061,0,0.0884542241692543,0.6098570607506502
24072,0,0.03498002514243126,0.5565530978066837
24388,1,0.4235258996486664,0.5882232629150983
24407,0,0.09076688438653946,0.5169071607029416
24439,0,0.5683978796005249,0.6819481897024305
24707,1,0.3434296250343323,0.5390503575029024
24838,1,0.6570074558258057,0.6281458221499873
25290,1,0.6350090503692627,0.599944072262478
26521,0,0.03141222149133682,0.6672374627665407
27741,0,0.00482071191072464,0.628451409724225
28524,1,0.1470382958650589,0.5929169279831135
29893,1,0.7695308923721313,0.5274009898202336
30469,1,0.9573317766189575,0.7356117803332788
31152,0,0.11810991168022156,0.6264641121043923
32165,1,0.6879070401191711,0.5650909484773771
32217,1,0.12693895399570465,0.530497031225012
32543,1,0.4556220471858978,0.7684599189543029
32566,1,0.12783508002758026,0.4461856183983307
32772,1,0.5480368733406067,0.6360893966566883
33521,0,0.020529422909021378,0.5715042657496343
33782,1,0.23916344344615936,0.6677157740831245
34385,0,0.1255277693271637,0.7224179105257734
34887,0,0.006122656166553497,0.5146170104627612
34985,1,0.2809576690196991,0.5804026569456961
35215,1,0.14030982553958893,0.5050302117366414
36588,0,0.11741247028112411,0.6997807290387497
38375,0,0.027571050450205803,0.6070408651307786
38559,1,0.26743772625923157,0.5107220008946893
38639,1,0.969186544418335,0.6607017776464148
39439,1,0.6972351670265198,0.646175685774244
39729,0,0.09181509166955948,0.6441874576547144
40056,0,0.015080997720360756,0.6806333940119609
40595,1,0.9770729541778564,0.5236104378765023
41030,0,0.3902702331542969,0.5163411337923276
41794,1,0.5200503468513489,0.662964364450592
42430,1,0.9780314564704895,0.5903973770102666
42480,1,0.22716663777828217,0.6862497400481185
42618,0,0.008132659830152988,0.4872177376696838
43296,1,0.47580599784851074,0.5168314399583191
43442,1,0.04331647977232933,0.6437948213080609
44120,1,0.8331636190414429,0.6153423599098324
44524,0,0.021511241793632507,0.6472206778294769
45560,1,0.30796322226524353,0.6722737519572739
45704,1,0.4885205924510956,0.5788974020763338
46122,0,0.015322216786444187,0.43273964799022047
48146,0,0.1140810027718544,0.6647842010829674
48901,1,0.4643295705318451,0.7147014635708142
49361,0,0.16428397595882416,0.6579203768256933
50755,1,0.13315922021865845,0.6161246593913905
50823,0,0.058164868503808975,0.7115606369345501
50881,1,0.3464948832988739,0.719362191745053
51418,1,0.4961765706539154,0.6811624647394756
52343,1,0.5137288570404053,0.6959481533806935
53714,0,0.02260582521557808,0.5796059623612793
53769,0,0.03566860780119896,0.6193844107788291
54305,0,0.006959130987524986,0.6854019187982148
54550,0,0.0029761996120214462,0.5043638551156175
54965,0,0.09198501706123352,0.7247560495562163
55491,0,0.0754581019282341,0.6173419507044926
56215,0,0.010563310235738754,0.536726727361843
56500,1,0.6390141248703003,0.5379438698092949
56732,0,0.02659427560865879,0.6743881281682822
56770,1,0.8416505455970764,0.5793959410804619
57407,1,0.6098371744155884,0.6115496087405772
57828,1,0.9887487888336182,0.5986828483033209
58018,1,0.23291239142417908,0.6119884682883613
58073,1,0.9948142766952515,0.5823314396599069
58556,0,0.09748789668083191,0.7240191375273688
59100,1,0.9191730618476868,0.5853409299332291
60217,1,0.15420843660831451,0.5928301904810283
61283,0,0.02909807860851288,0.6077739998787131
61299,0,0.04681567847728729,0.5261913774043367
61390,0,0.04789453744888306,0.6686188119331186
61635,1,0.5119386911392212,0.6843571362496645
61994,1,0.918111264705658,0.6944878518838291
62281,1,0.9836369156837463,0.459121841935195
62655,1,0.8051981329917908,0.7515281659024857
63063,1,0.9372254014015198,0.48079848988566876
64155,0,0.1756860315799713,0.6422399680207036
65216,0,0.031156452372670174,0.643299857624574
65571,0,0.043810416013002396,0.5553007729403712
66370,1,0.2191678136587143,0.6304395333229589
66633,0,0.21932950615882874,0.6261854763646517
67911,1,0.7682347297668457,0.3932345144926188
68270,1,0.955284595489502,0.5621630512833888
68600,1,0.5765998363494873,0.45298367775028925
68887,1,0.1217871606349945,0.555811998178038
69866,0,0.03943208232522011,0.6434451627586326
70390,1,0.11695698648691177,0.6048625050494456
70591,0,0.016698744148015976,0.5473239638265202
70896,1,0.9767157435417175,0.6351493155198971
70938,1,0.4385097026824951,0.7220930584567008
71083,0,0.10451507568359375,0.5793928551447777
71336,0,0.03536047041416168,0.6555201542043718
72774,0,0.032210275530815125,0.6290740722711956
72796,1,0.6999107599258423,0.58562667276659
