index,Humidity3pm,Humidity9am,MaxTemp,MinTemp,Pressure3pm,Pressure9am,RainToday,Rainfall,Temp3pm,Temp9am,WindDir3pm_cos,WindDir3pm_sin,WindDir9am_cos,WindDir9am_sin,WindGustDir_cos,WindGustDir_sin,WindGustSpeed,WindSpeed3pm,WindSpeed9am,true_label,sum_abs
209,0.20013093769159557,0.012279965506975118,-0.045253694909423776,0.060455785821413484,-0.16498142239421504,0.12294574658431426,-0.01134671587020617,0.023413949270413983,-0.03519069564897594,0.016296844932050608,0.022128553283904836,0.004794029580809767,0.012637058723671947,0.016985103137983966,-0.005505248505010091,-0.009384371352437375,0.09887983932059695,-0.02236437276543635,-0.0182209141109295,1,0.9031952494103648
293,0.18033838248038198,0.015203981479747126,-0.03839991996000373,0.04686533836749015,-0.16248317206402477,0.12378161455267746,-0.025469548982849942,0.021434061606763467,-0.02831242535467289,-0.00561500482400608,0.014161219132901698,-0.014546815200973397,0.019350244821887814,0.001218526353649705,-0.006165528770857839,-0.007327298660786283,0.09749373402586746,-0.03869041677535164,-0.02100353183048694,0,0.8678607652453804
339,0.1664840800035852,0.005463605485104069,-0.03172386834906916,0.05787579591013267,-0.14917520938446702,0.10582093147605216,0.00037984848444151285,0.021637894015382183,-0.016270644111150343,0.005077767965851988,0.021777174399620715,-0.00703696094908202,0.005996786960182421,0.011187474758480106,0.0009151567336826587,-0.017049220427900223,0.11090979719704828,-0.035138099734039176,-0.013428548147961858,0,0.7833488644932337
347,0.18209452711110613,0.03455748229620408,-0.031469593841306036,0.04540604246125377,-0.15624708416510955,0.09643465475543005,-0.0012561386047031814,0.011883083150513141,-0.034067589456784196,0.006977106731032162,0.01330961730970729,-0.010625406994446805,0.011702114972642369,0.014709003626099216,0.020091854520451195,-0.012907881414319963,0.11335422948932908,-0.024578454767613642,-0.003261444125114142,0,0.824933309793166
365,0.18564634080309997,0.016216001445753976,-0.04356877736476177,0.04201681611505743,-0.1458329707884176,0.1168703638248293,0.005832437867417167,0.012193326896858387,-0.025396047085998453,0.005768505695163393,0.008823902976432003,-0.010943237226012374,0.019774794442124745,-0.0016245261761034478,9.403547052945762e-05,-0.0072853456982552595,0.10502718412617988,-0.02546086040049846,-0.023546157062320442,0,0.8019216314658135
437,0.1955270593148977,0.02179523566916427,-0.0419905750746569,0.03967917465661796,-0.15766230312117085,0.11879403610441068,0.0013082743049909328,0.028724726706245294,-0.029907641391408175,0.0246198403212552,0.008867668326758973,-0.015356526182828956,0.018825969003766617,0.0035968029387407636,0.0004992033811900945,0.005996217567926655,0.09085137844015521,-0.016713007803108065,-0.004271275104888322,0,0.8249869154141816
596,0.18134441717395025,0.024948679449075663,-0.04672230093924357,0.056264290619168364,-0.14585935426579333,0.10374300845752157,0.010509983725845778,0.013326497638199703,-0.03250608481444918,0.0034558670449656697,0.004313935471381443,-0.0007401026511186096,0.01709357388090644,0.015633153240853292,-0.00549852387324906,-0.008354267448108344,0.0911160271016149,-0.039959429012192405,-0.008096551504147865,0,0.8094860483117854
617,0.19138927988560941,0.023434140151440346,-0.021747978331456124,0.04448605136105471,-0.15900904135737964,0.10905087626969319,-0.000151755767566403,0.01595990523340016,-0.01985333653536542,0.008118023841486587,-0.0011087908565418682,0.006402197341056569,0.011883313089194039,0.017728978970909394,0.002577241039293941,-0.01840930211365363,0.10999984597147382,-0.030707430691551137,-0.016087675429602592,0,0.8081051642377289
705,0.18534474539804333,0.011417735842213431,-0.0622422609185984,0.04201287653391145,-0.1672108129313621,0.10997679690637102,0.0032664699451886788,0.014296149594825924,-0.02838827753059546,0.015693106820153024,0.01792057629576327,-0.006016759735415684,0.016672897860461708,0.004781342305558159,0.003685036635590193,-0.0009059460673875989,0.08204565351566553,-0.02969955263695423,0.003538245247450195,1,0.8051152427215094
786,0.1832507089914859,0.012550450696957179,-0.04137642404850962,0.044820954643087565,-0.1591110469361593,0.11357816660500933,-0.006306041988918121,0.03133819438523218,-0.02832568604901977,0.019997092049998205,0.014681598630647691,0.003603998117950457,0.022083815588831154,0.011288998373494704,-0.01278453455907149,-0.01434157461816351,0.10204224911554202,-0.027562244116135396,-0.00926960991934877,0,0.8583133894335624
805,0.17459361177412736,0.013672147263302702,-0.03902055361639929,0.04573403442041405,-0.13874832799404285,0.10767271100797485,-0.001949756363772123,0.023136516694700127,-0.030296330854759173,0.005201899934947615,0.008152056832671806,-0.0015665971232870324,0.021802899170104674,0.002856147205136215,0.001992058729114786,0.0007788665231129453,0.08909047728365824,-0.03426106713231072,-0.012662901176288063,0,0.7531889611001246
821,0.19248796245475652,0.01536537808030965,-0.040941501656623344,0.05401103430417968,-0.16277272756203465,0.11576561217996167,-0.00609204379872352,0.012396014775510939,-0.034522710950177955,0.0077117908694181005,0.01661356704612692,0.008221570898075469,0.014780900201796024,0.007929533602015315,-0.013850061250480926,-0.00926297270699962,0.10132524980373694,-0.02653041008162115,-0.01858019522259315,0,0.8591612374451415
838,0.1948886102652043,0.016624687372866372,-0.05053270302469547,0.058730327324041,-0.1501077812538067,0.11380961313935171,-0.006205813528783519,0.021035911541723337,-0.034279790306538264,0.004698400667539786,0.009654079951155504,-0.0040994226567673125,0.02702313461383112,0.0008253455493366427,0.005397758877380488,0.0010784671038406165,0.0954437205230673,-0.025776794653380383,-0.019507907802590232,0,0.8397202701559
845,0.18062861106243094,0.030150349799614933,-0.031676629621267535,0.06453195234512923,-0.15626221128815118,0.11393499476609854,-4.177105993363761e-05,0.026139591602717473,-0.038828730393874494,0.009024252746764688,0.017363838738346873,-0.006141952309773089,0.012926607439733912,0.01020216109053189,0.0021546128033533003,-0.0005513299469999488,0.09194521726826026,-0.03422300851425946,-0.018280686880675204,0,0.8450085096779166
858,0.18380244250758218,0.02336163621850339,-0.0399303186015658,0.04841651196206645,-0.16443054261574166,0.12170669538415116,0.004091392867225966,0.015964416707494503,-0.030006017496328478,0.00637713078831163,0.008708471472530949,0.002468801644781207,0.023374311950520733,0.007355610016356138,-0.0071707296304262735,-0.01766815356428244,0.10364875339738545,-0.02420228871712552,-0.013255442966864098,0,0.8459396685092441
1067,0.19058173502294146,0.02293586542736344,-0.04832549123892519,0.035775589546744736,-0.15812472547510967,0.11346116304850849,-0.003286904375621258,0.021402783828264584,-0.02404689063241342,0.012950941337328168,0.03024275548316423,0.0025205591339327806,0.004211203544186219,0.008305190793062743,-0.010960107729100683,-0.007542886285190026,0.10419080934269784,-0.017500006567052265,-0.009786960366772946,0,0.8261525691783801
1088,0.1745540524815764,0.023291605602128153,-0.05116429903587004,0.0435297480506896,-0.14834099485755417,0.10893555775250999,0.010494327353355513,0.012839335947189456,-0.01988865955527313,0.009058368906811255,0.013914520430831214,-0.008612515207383657,0.024124633780020686,0.0028154540359238115,-0.0016542379759209235,-0.007679184749417379,0.09931616321679929,-0.03357690049018828,-0.02002874249519968,1,0.8138193019246426
1155,0.18599543191929793,0.019344047902212946,-0.03923107448099995,0.04898722214829256,-0.15872807677779913,0.10679714353445643,0.002164414940758121,0.016555041248267493,-0.026523239111191862,0.004968823864619219,0.017984035491823317,-0.006930887870702963,0.014715267540739188,0.008365932606249897,-0.0015800419572161671,-0.006035735661518951,0.10014194933546978,-0.034258299931979874,-0.017948217616266672,0,0.8172548839398625
1262,0.19501671297684023,0.03215199127126883,-0.047320907571782374,0.04554047160382823,-0.1666951347592623,0.10594091144144685,0.003341324493561773,0.03818924440013399,-0.026659168374733134,0.018456500412627048,0.02019767813924866,0.00030780588092104816,0.022786820272621005,0.00013139940835630768,-0.004866881425313333,-0.011388030338855673,0.09810502599923236,-0.016778801065275357,-0.008622090867578959,1,0.8624969007028874
1277,0.19059186119616886,0.014205587269382569,-0.04131188648596123,0.04906850227213309,-0.15529776756957972,0.1217180624423926,0.014255658343827679,0.016242450996663847,-0.0282763820419196,0.00981351805109298,0.011851034327569326,0.001550750300210813,0.03177013333614622,0.00803273013656862,-0.01013281638859825,-0.0002968258748346754,0.09681734977859954,-0.030877974239087582,-0.0064532564173944125,1,0.8385645474681316
1278,0.19297908344990014,0.015156665737784587,-0.050797670774916905,0.055156393594388065,-0.15528315580214638,0.12103439212901557,-0.0008357133176840103,0.01889645692962681,-0.025374364884797693,0.010861290987738742,0.020918101250657507,0.016935279058209123,0.022737574285111535,-0.00251221511189575,-0.0003892414595386317,-0.010352883591269972,0.0940405262183612,-0.02583196327270988,-0.019512827150570674,1,0.8596057990063232
1285,0.1950294827446496,0.020938160179007154,-0.04361628239689052,0.04523719077845248,-0.15549272677220263,0.11578915989969792,0.002559461148652266,0.022033098472606247,-0.030845024171885234,0.010556798638949962,0.013409545215521332,-0.030817968008656133,0.034939642007285845,-0.0025083302878577004,-0.007823468197687134,-0.000523434571792448,0.09193956328335325,-0.02056195089934745,-0.015257821878388216,0,0.8598791095528835
1559,0.17085634748512885,0.0042401858974943606,-0.041876301634826966,0.06522764815833691,-0.18910290773928717,0.10049628088723087,0.008439083943685383,0.019370784882514782,-0.010468555940460462,0.017153298395066685,0.01819883639908198,0.00446424470283464,0.032710388332293526,-0.00314617317686548,-0.00864539334544275,-0.00038983251262194934,0.10040655477965263,-0.012935141214525924,-0.0033574157155417646,0,0.8114853751428931
1597,0.19792394560402285,0.014097078013004907,-0.04528940922198727,0.05248873342296539,-0.15796939015046696,0.12469308572624468,-0.0005338880118138257,0.027708496837894173,-0.03029612820489059,0.016379709272416408,0.02739358883575009,-0.003621384674399765,0.028954979409278023,0.015269553872264427,-0.00041074862252221764,-0.006658731974285605,0.09941845724357783,-0.02713458919326867,-0.00828546175531517,0,0.8845273600463689
1638,0.17237619665870949,0.022382647552761037,-0.04989341286639022,0.03509215185891777,-0.14431588046431643,0.11377156545676335,-0.004203634567703647,0.02419938968892058,-0.020093238842691753,-0.0010158508625155841,0.023686765805510955,-0.007979357572488618,0.010426424134683481,0.009891485123789758,-0.005781931281615733,0.005123037465829692,0.08891937194996755,-0.037198208373470085,-0.00420522892425244,0,0.7805557794512982
1667,0.18384005343500867,0.02254571321208245,-0.05317342069279783,0.059215784805525605,-0.1495549701705003,0.11597954212392603,0.0023260665612721515,0.01261426174287948,-0.030438647241723005,0.013540880874019754,0.031175097105778926,-0.006232685997055082,0.008946271003440387,0.014484121546718751,0.0023082771753677664,-0.0035839868419829347,0.09171538473628328,-0.041345737154660465,-0.014676072310644887,0,0.8576969747316677
1687,0.1764339871621678,0.025388127943773195,-0.04749228743828676,0.05554223234815105,-0.15003181931806295,0.09760376872417535,-0.006611272193479218,0.01929904167954083,-0.03141996861550718,-0.001848971720722518,0.02547358022048621,-0.012327203441481242,0.007919438624476952,0.021428803243662708,-0.01514403526417204,0.0017508175298921928,0.0895876068696441,-0.03168779100659845,-0.025779843604925554,1,0.8427705969492063
1744,0.1890517915959094,0.034237436611014985,-0.04684902847156902,0.0501392994321891,-0.16335673262300915,0.11448418763278663,0.006401751272828789,0.02678883522260207,-0.034077484332215496,0.00858175103689885,0.02164998328516589,-0.0021762508457968846,0.005848689149981821,0.007393411151657981,-0.005145844158628314,-0.00967433878032333,0.1044099705633109,-0.029590348137222493,-0.014492644932219552,0,0.8743497792353306
1807,0.1713920862641553,0.02895471279410885,-0.055461462815329286,0.05040560845044256,-0.15617168372922488,0.1166323443791782,-0.0028643722752944743,0.03315305800612614,-0.021447502757653076,0.01550226169457682,0.002183335792791175,-0.009412818249214291,0.020535872794904625,0.01143054663850279,-0.015744983641363636,-0.00921235013676047,0.09949208832488228,-0.033676085345744546,-0.006782278313067206,1,0.8604554524033207
1854,0.18955506318691273,0.014967129614862252,-0.04801680032301662,0.05918203800492214,-0.16160594600514502,0.09872802503957602,-0.006197733761555892,0.020314284497722202,-0.03250931965116122,0.016388977703780196,0.010159284439105054,-0.011512130761937973,0.013096528960414185,0.006467564727905986,0.0010583028913620789,-0.009507509162522782,0.102441724481443,-0.020249285758239907,-0.007221807599995451,0,0.8291794565715807
1958,0.18536269679493605,0.02608512123375992,-0.047356953511192165,0.04672338521667116,-0.15705851871480261,0.11487325499230143,0.007905930739543536,0.00032340122048602675,-0.033495485965586054,0.0026330068993475073,0.015074902086299264,0.0009716886100366567,0.032231663929637624,0.0007800807274904615,-0.030426309695116414,-0.013728910584233792,0.09387471118471209,-0.021080025192944565,-0.0027637360327788527,0,0.8327497833318762
1999,0.19220029717291268,0.020187498212889968,-0.04714157844065678,0.05631736302219368,-0.1416798691527281,0.11863834584598089,-0.005077333184458199,0.014171481734593814,-0.023793571981547346,0.009710032553618032,0.010590868211648338,0.001893546185888427,0.009863128751275284,0.003947973234716217,-0.008367719814393075,-0.012353545069561076,0.08681777659944387,-0.022672913840302008,-0.022471194972121813,0,0.8078960379809296
2023,0.17967135247140362,0.033369637976510914,-0.05478740023606872,0.0537257580520672,-0.1487254473135448,0.11352566802558939,-0.009692921374413974,0.02157638808035654,-0.042120558723558854,0.010287129032789477,0.02467509553666425,-0.016725401564552204,0.019943273070604433,0.01104839138915041,-0.007015599397012454,-0.01600255474497898,0.0914266829992726,-0.04013544550731481,-0.00866262785874452,1,0.9031173333545982
2036,0.18584487274207714,0.023962444842440887,-0.05481906237958033,0.037285921559083085,-0.16500429986661905,0.10949509599128882,0.009607130804123893,0.0014021070498034308,-0.04056615483258874,0.0029022974427358296,0.007471878001484148,-0.008722170742575244,0.015998092077214653,-0.0026444777750990432,-0.009608156486069896,-0.006731209841562652,0.09752542229522751,-0.038371670972355845,-0.01283992355478159,0,0.8308023892567118
2063,0.18540688009356737,0.01888868639568703,-0.034467237002841405,0.0459673034727454,-0.14640585672606102,0.0967608301192745,0.004915640315948969,0.013219776823000176,-0.023255291296728896,0.004648337727505383,0.00652583936403882,-0.0001315952777039435,0.022041166375316463,0.006245465855113259,-0.00590022751239546,-0.009030797926769954,0.09291888511626292,-0.0164345867942852,-0.018454689659031288,0,0.7516190938542775
2127,0.18213893114755292,0.032162832120439654,-0.05756380363223989,0.04212342684225913,-0.15324902219419528,0.10923824537252524,0.0031234128692200066,0.00677748055525025,-0.022631040728040487,-0.004478236487324441,0.01895780826087312,-0.0071812681928029405,0.0171355730813898,0.011871687759038307,0.0014241750063768673,0.0089312181866214,0.09689958679454955,-0.022635312837839892,-0.00827612333644332,1,0.8067991854049825
2159,0.19046200831447058,0.009933079592749906,-0.04739260234895369,0.04929292498499219,-0.1559257625877721,0.10981594196863519,-0.001280261790487552,0.014760981640756466,-0.023495306015044144,0.023816337084147387,0.017895271688622896,0.00666495584852881,0.011412762363151094,0.00999564280161904,-0.01370963446561644,-0.006928707251155635,0.10136423590841472,-0.028302089768752623,-0.013229117838981915,1,0.8356776242628524
2172,0.1788115451305827,0.02938991374830594,-0.04834800575304806,0.06082115354777449,-0.16265597611119012,0.10419502742971162,-0.011235943698036013,0.011059947433931185,-0.01879719296075577,0.01925161590178175,0.006850083685226937,-0.010689448525011106,0.016502621090828132,0.0023252784497306443,-0.009280466975747402,0.005849311207636036,0.09290066118071004,-0.03985787208697367,0.004665213034177095,0,0.8334872779511587
2226,0.18788892783079778,0.021791145301824737,-0.04740779445317211,0.041462681149964736,-0.1788251726328314,0.09345972074397298,-0.012526258887893925,0.017490591518422423,-0.036534877791188504,0.0009688130479741652,0.016304507679516626,-0.015308371900668668,0.016912830549908338,0.003699221661384462,-0.006573576434579008,-0.007280145700399285,0.10600958790081653,-0.030904178621224892,-0.014912821262580606,0,0.8562612250691212
2230,0.19929791839207067,0.009651659275945053,-0.040639015844682956,0.04751005103498975,-0.1624156518843045,0.11901013278411096,0.0039812133644065795,0.018447533607031705,-0.023499310931670268,0.018120337364006096,0.013305711523543436,-0.012829114127030378,0.014956804567856447,-0.00042536568345778497,-0.0028571962940653673,0.003613136567004029,0.10586266892690618,-0.036818060578930216,-0.02215219287102316,0,0.8553930756230356
2367,0.18510970054895498,0.03385232079197133,-0.03995742422317741,0.039732771279665374,-0.1478261001454242,0.11943213231102197,-0.0006854867705981952,0.021469961418719968,-0.02766584245259701,0.01563326610858674,0.013705736648362722,-0.007421595755077367,0.024424061776773767,0.009059658598061626,-0.000677119894314227,-0.00987261321053226,0.08838794966056183,-0.025242557255133066,-0.017566995454841184,0,0.8277232943043752
2416,0.18883971179880152,0.025648489487486603,-0.0632599177529087,0.04248554655972378,-0.1564309475669677,0.09900791346129167,0.0014490578406326478,0.014477095251203293,-0.04517362077493974,0.018262492025079142,0.02148558182569198,-0.02191226755564486,0.021059972342512827,0.0013551094921769205,-0.008200323863430021,0.0042804685830546895,0.08850573699581844,-0.03818387499735681,-0.011555298761278433,0,0.8715734269359998
2515,0.1858923109572573,0.025502781739515694,-0.03796693643835964,0.04581069801796988,-0.15246299591183152,0.10819028196908712,0.002018478319454544,0.025555336131991336,-0.026187351246248453,0.014523720180176376,0.003376711291661883,0.009638473613056064,0.02391587286169218,0.013473803047377846,-0.01497745437462782,0.0016497612011811113,0.09036393801096605,-0.030288769142861525,-0.0074425045862890424,0,0.8192381790416053
2608,0.1702561210648819,0.014511444494081729,-0.06913670509992569,0.04445231288034471,-0.16022310233641573,0.1044406863960621,-0.0010689315277298836,0.011921707978204079,-0.028956131705443578,0.014291709722598587,0.009679783284540486,-0.004819267946302608,0.011780335948995437,0.0001330343917893675,-0.008213550231454746,-0.00023749153491920186,0.08187057815566876,-0.036033988517620866,-0.0208448207666845,0,0.7928717039836639
2618,0.18501251840324415,0.013746034186060824,-0.04965824222000047,0.044543245341895174,-0.14482620961467285,0.10759908991499044,0.002501622575867551,0.01705690808240301,-0.02878695021370571,0.002591354845436231,0.010056287333305635,-0.012195518308031818,0.009085363855934532,0.001967741259158105,-0.005652958853902371,0.0016034035188630781,0.0994744837467069,-0.014261515087595905,-0.012650495745183066,0,0.7632699431069578
2667,0.18158354686758127,0.008739801231451847,-0.04203942295277026,0.041097172493876226,-0.16722159188500435,0.10636225911277783,-0.008378226139901487,0.021563732544502157,-0.03525261138033334,0.0031344123957145493,0.014983057046652497,-0.005470247503217674,0.01762023823193148,0.005845085390298702,-0.012875863651361018,-0.0014203565994359137,0.08249869771173293,-0.030110086152090005,-0.012718866707604286,0,0.7989152759982379
