feature,mean_abs_weight
Humidity3pm,0.14207028921610865
Pressure3pm,0.1406333796875279
Temp3pm,0.09949767107994396
WindGustSpeed,0.0782563745760214
Pressure9am,0.0631892948408328
Humidity9am,0.043099340197310584
Temp9am,0.03365629686308368
WindDir9am_cos,0.0332340136422643
MinTemp,0.031034006076799556
WindDir3pm_cos,0.026209049626129823
Rainfall,0.02146347212715143
WindSpeed3pm,0.019772531018768816
WindDir3pm_sin,0.017213675057025587
WindDir9am_sin,0.011854710882834714
WindSpeed9am,0.011066102133980947
WindGustDir_cos,0.009514061114905142
WindGustDir_sin,0.008148566826172493
MaxTemp,0.006965120429649155
RainToday,0.006188180087232126
