index,true_label,model_prob,local_fidelity_r2
209,1,0.459830105304718,0.48837327823306087
1999,0,0.2538822293281555,0.7055258265176583
2127,1,0.8225135207176208,0.31987199405950617
2416,0,0.4243449866771698,0.4817552731621205
3646,0,0.4188160300254822,0.6833654341393838
3794,0,0.4344237446784973,0.5941504902266082
4031,1,0.7343904376029968,0.5994853656072243
4413,0,0.49244871735572815,0.5999454243395669
4514,1,0.4139115512371063,0.6952906695246696
5168,0,0.3107130527496338,0.6329356383134261
5515,0,0.35338348150253296,0.6364114168065523
5744,0,0.3676391839981079,0.63845688424462
6927,0,0.3032841682434082,0.6339199319713931
8206,0,0.41374921798706055,0.6289426999567795
8541,1,0.7944527268409729,0.4653113820188738
9056,0,0.34524258971214294,0.5982745147203711
9338,1,0.6232003569602966,0.6370650968626921
9467,0,0.48911431431770325,0.6424651406565989
10342,1,0.7646960020065308,0.45163240583922537
10570,0,0.2630045413970947,0.5450469138756413
10954,0,0.41757187247276306,0.5219919450550128
11141,0,0.3395395278930664,0.599241237468858
12235,0,0.3215596079826355,0.5340625058295059
12385,1,0.825059711933136,0.3224342216000077
12999,1,0.8507405519485474,0.6618736213184332
13683,1,0.6241049766540527,0.6678040642777301
14043,1,0.8220787048339844,0.5389742475254147
14482,0,0.5754077434539795,0.503420057606749
14579,0,0.37427833676338196,0.6841365420824881
14594,0,0.6821976900100708,0.6715687257386037
14615,1,0.715951144695282,0.6417226353601233
15069,0,0.7553354501724243,0.41304480784696473
15245,1,0.6116157174110413,0.624248004250492
15942,0,0.3601404130458832,0.6047035914392449
16133,1,0.6685880422592163,0.5648631566993805
16334,1,0.4678783118724823,0.6465648392493712
16801,1,0.8349721431732178,0.36657138254399657
16863,0,0.6263845562934875,0.6188883694006261
17052,0,0.4367074966430664,0.42885712343388493
19024,1,0.4629371464252472,0.5022451886104886
19327,0,0.32309967279434204,0.5741282187563006
19416,1,0.6443272233009338,0.575827861056905
19739,1,0.7729799747467041,0.6825994882510864
20437,0,0.34239402413368225,0.6833311695436017
20785,1,0.46454331278800964,0.615344272996207
21917,0,0.4827892482280731,0.6702046574304135
21922,0,0.6136862635612488,0.6645870283654791
21996,0,0.44164296984672546,0.6808251639887082
22061,0,0.2894800305366516,0.6174624062732745
24072,0,0.3631187081336975,0.648230054840174
24388,1,0.5713632702827454,0.5830002009220769
24407,0,0.3976440131664276,0.6886886354158976
