,XGBoost Centralizado,MLP Centralizado,MLP Federado (FedAvg),XGBoost Fed. (Bagging),XGBoost Fed. (Cyclic)
XGBoost Centralizado,1.0,0.6842105263157894,0.6140350877192983,0.47368421052631576,0.48538011695906425
MLP Centralizado,0.6842105263157894,1.0,0.7660818713450293,0.34502923976608185,0.543859649122807
MLP Federado (FedAvg),0.6140350877192983,0.7660818713450293,1.0,0.25146198830409355,0.47368421052631576
XGBoost Fed. (Bagging),0.47368421052631576,0.34502923976608185,0.25146198830409355,1.0,0.52046783625731
XGBoost Fed. (Cyclic),0.48538011695906425,0.543859649122807,0.47368421052631576,0.52046783625731,1.0
