,XGBoost Centralizado,MLP Centralizado,MLP Federado (FedAvg),XGBoost Fed. (Bagging),XGBoost Fed. (Cyclic)
XGBoost Centralizado,0.0,1.017126882703586e-05,0.00011110834881506408,0.004057465559070709,0.0031542131805936016
MLP Centralizado,1.017126882703586e-05,0.0,2.9769299694187086e-07,0.04121051452362008,0.0007930719198513941
MLP Federado (FedAvg),0.00011110834881506408,2.9769299694187086e-07,0.0,0.14329021416472087,0.004057465559070709
XGBoost Fed. (Bagging),0.004057465559070709,0.04121051452362008,0.14329021416472087,0.0,0.0014130922285316276
XGBoost Fed. (Cyclic),0.0031542131805936016,0.0007930719198513941,0.004057465559070709,0.0014130922285316276,0.0
