,XGBoost Centralizado,MLP Centralizado,MLP Federado (FedAvg),XGBoost Fed. (Bagging),XGBoost Fed. (Cyclic)
XGBoost Centralizado,0.0,0.14619883040935672,0.16374269005847952,0.25146198830409355,0.13450292397660818
MLP Centralizado,0.14619883040935672,0.0,0.13450292397660818,0.2807017543859649,0.21052631578947367
MLP Federado (FedAvg),0.16374269005847952,0.13450292397660818,0.0,0.3216374269005848,0.2046783625730994
XGBoost Fed. (Bagging),0.25146198830409355,0.2807017543859649,0.3216374269005848,0.0,0.3157894736842105
XGBoost Fed. (Cyclic),0.13450292397660818,0.21052631578947367,0.2046783625730994,0.3157894736842105,0.0
