,XGBoost Centralizado,MLP Centralizado,MLP Federado (FedAvg),XGBoost Fed. (Bagging),XGBoost Fed. (Cyclic)
XGBoost Centralizado,0.0,0.15789473684210525,0.19298245614035087,0.2631578947368421,0.2573099415204678
MLP Centralizado,0.15789473684210525,0.0,0.11695906432748537,0.32748538011695905,0.22807017543859648
MLP Federado (FedAvg),0.19298245614035087,0.11695906432748537,0.0,0.3742690058479532,0.2631578947368421
XGBoost Fed. (Bagging),0.2631578947368421,0.32748538011695905,0.3742690058479532,0.0,0.23976608187134502
XGBoost Fed. (Cyclic),0.2573099415204678,0.22807017543859648,0.2631578947368421,0.23976608187134502,0.0
