Feature,Mean_Abs_SHAP
Humidity3pm,1.1004523
Pressure3pm,0.7275473
WindGustSpeed,0.48163605
Pressure9am,0.29767713
Rainfall,0.19997187
MinTemp,0.19076483
Temp3pm,0.17776577
MaxTemp,0.17553787
WindDir3pm_cos,0.16226614
WindSpeed3pm,0.15980402
WindDir9am_cos,0.11641464
Temp9am,0.09424453
Humidity9am,0.084403016
WindDir9am_sin,0.07781993
WindSpeed9am,0.07004482
WindGustDir_cos,0.061481938
WindGustDir_sin,0.053590156
WindDir3pm_sin,0.04657985
RainToday,0.019286571
