Feature,Mean_Abs_SHAP
Humidity3pm,1.1208941
Pressure3pm,0.70926756
WindGustSpeed,0.49917063
Pressure9am,0.29975468
Rainfall,0.21414575
MinTemp,0.18937124
Temp3pm,0.1768681
MaxTemp,0.17520843
WindSpeed3pm,0.16367766
WindDir3pm_cos,0.14911166
WindDir9am_cos,0.11196781
Temp9am,0.09697522
Humidity9am,0.09114226
WindDir9am_sin,0.07567941
WindSpeed9am,0.07191459
WindGustDir_cos,0.06055456
WindGustDir_sin,0.05046032
WindDir3pm_sin,0.04694527
RainToday,0.02110907
