iteration,train_aucpr,val_aucpr,train_auc,val_auc
1,0.5711440967950635,0.5583865781726803,0.8074059959043094,0.809911824834297
2,0.679896784503891,0.6715399494049595,0.8588641280113235,0.8614005849125728
3,0.6977372216215021,0.6902224995416117,0.866845424556616,0.8683747121288296
4,0.7059497794308439,0.7014118251346267,0.87003658552927,0.8728652159605498
5,0.703240791188564,0.6966925312048077,0.8702982501165645,0.8721335296681322
6,0.7093397142944369,0.7022027476435797,0.8724251687721276,0.8741393644270115
7,0.7136559593414682,0.7068560501850919,0.87410816288093,0.8758378577538379
8,0.714851460460281,0.7085838543765597,0.8743503787097732,0.8762747963385633
9,0.7167213696036758,0.7104717351116371,0.8750646013739484,0.8769715657345583
10,0.7179625268574068,0.7120512765810099,0.8756254875877426,0.8780746305014911
11,0.719205961191317,0.7137551641474358,0.8760691750337407,0.8787894266545585
12,0.7198271180663637,0.7142514149139328,0.8764476602339946,0.879296039905648
13,0.7205729926126553,0.7155442878933602,0.8772316526975497,0.8798204525902654
14,0.7205129094605078,0.7153232324197965,0.8775030365601395,0.879851095804053
15,0.72169277796335,0.7162857780742942,0.877860233731055,0.880028931012851
16,0.7227026041741886,0.7172054158028071,0.8783636714972367,0.8803939898928315
17,0.7236464757406043,0.7180149379231072,0.878613810481899,0.8808251544595287
18,0.7246036363963597,0.7190724991402175,0.8790527638005358,0.881298873993741
19,0.7253802060487811,0.7198461711905653,0.8794102231278719,0.8815268340440832
20,0.7262575315798531,0.7203956933016767,0.8797455889328677,0.8819257868645364
21,0.7270417051326774,0.7210548161243762,0.8801483577055595,0.8821412213875811
22,0.7275438197961737,0.7216733124369441,0.8804103494083877,0.8824758416449641
23,0.7279767131137032,0.7224124332967276,0.8806970622296796,0.8828019372694315
24,0.729009967792403,0.722740792696211,0.8812717666388036,0.8830834547468384
25,0.72968416740526,0.7235165926338228,0.8816331861520682,0.8834569927950258
26,0.7300486771725998,0.7237736416436247,0.881914418744186,0.8837998648970711
27,0.7304383048138114,0.7242180541334605,0.8822630417761708,0.8841643554681906
28,0.7311701143018717,0.7243797612055723,0.8827737039237123,0.8844474642104085
29,0.7318966944165973,0.725097396167919,0.8831713539182947,0.8849364598868056
30,0.7324180832254443,0.7255588246457845,0.8833724413486952,0.8850152274949463
31,0.7331950075627448,0.7257710667792193,0.8838422595259106,0.8852911073484518
32,0.7337561572154646,0.7263692010495774,0.8841434656533144,0.88553388889389
